"DATA for Simon Gaechter and Jonathan Schulz: Intrinsic Honesty and Prevalence of Rule Violations across Societies, Nature (2016) doi:10.1038/nature17160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See README for list of variable labels and SUPPLEMENTARY INFORMATION for detailed descriptions, data sources and references",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,city,location,sessionid,subjectid,insample,prevexp,lowstakes,number,payouts,high,five,six,female,age,middleclass,urban,economics,religious,numknown,q_fair,q_norm,PRV2003,wgi_corrup1996,wgi_corrup2003,wgi_corrup2012,bs_SE1999,bs_SE2003,bs_SE2007,fh_polrights_s2003,fh_polrights_s2012,fh_polrights_2006woC,pol_xconst1990_2000,pol_xconst1890_1900,wgi_goveff2000,GDP_1990_2000,hfs_idv,iw_tradrat,iw_survself,tbl_exconst,tbl_legor_uk,tbl_legor_fr,tbl_pc_tr_tol_all,tbl_prim_newbound_1930,tbl_lyp_m80_00,tbl_lan,sw_fst_distance_weighted,lp_legor_uk,lp_legor_fr,lp_legor_ge,lp_legor_sc,ajr_africa,ajr_lat_abst,ajr_avexpr,ajr_logem4,ajr_asia,ajr_baseco,sr_Belief_in_Heaven,sr_Belief_in_Hell,p_elf85
Paraguay,,,,,0,,,,,,,,,,,,,,,,,1.3023247,-0.86232054,-1.4454559,-0.83818805,38,39.099998,,20,28,22,6.181818,2,-1.1701968,3.9263902,,,,2.4390244,0,1,,45,8.4738321,,833.68683,0,1,0,0,0,0.25555557,6.9545455,4.3579903,0,1,,,0.18
Pitcairn,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,0,,,,,,,,,,,,,,,,,,1.3595393,1.3165196,1.294341,,,,39,39,27,,,1.4102234,,,0.80000001,1.62,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,0,,,,,,,,,,,,,,,,,0.94468093,-0.47267726,-0.5539906,-0.52692837,46.599998,43.900002,41.099998,20,11,9,4.4000001,,-0.57138246,1.4052707,,0.55000001,-1.3099999,4.4000001,0,0,-0.34223217,,7.77911,,486.35541,0,1,0,0,0,0.44444445,,,1,,0.41,0.38,0.13
Senegal,,,,,0,,,,,,,,,,,,,,,,,0.23659292,-0.22141364,-0.14311321,-0.31618586,45,44.400002,41.700001,31,28,24,3.2727273,,-0.1233452,1.1588877,25,,,3.075,0,1,,,7.3129077,,1381.199,0,1,0,0,1,0.15555556,6,5.1038828,0,1,,,0.79
Saint Lucia,,,,,0,,,,,,,,,,,,,,,,,,,0.26931253,0.96206743,,,,38,39,28,,,0.056902893,7.2498207,,,,,1,0,,72.800003,8.4686775,,1324.5343,1,0,0,0,,,,,,,,,
Niue,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,0,,,,,,,,,,,,,,,,,,-0.014623114,-0.60658383,-0.39312726,,,,36,33,,,,-0.50754017,1.0761383,,,,,0,1,,,7.091517,,,0,1,0,0,0,0.011111111,8.409091,,0,,,,
Romania,,,,,0,,,,,,,,,,,,,,,,,-0.21016501,-0.22141364,-0.29777783,-0.27188095,34.299999,32.799999,30.200001,32,34,23,5.4545455,3,-0.43480441,5.5821104,30,-0.38999999,-1.55,3.375,0,0,-0.2701593,58.799999,8.3930798,-1,519.10681,0,1,0,0,0,0.51111114,7.2727275,,0,,0.76,0.74,0.21
Tunisia,,,,,0,,,,,,,,,,,,,,,,,0.6188224,-0.22141364,0.32289261,-0.18327607,38.700001,37.400002,35.400002,8,25,4,3,,0.52381444,4.1384344,,,,1.7073171,0,1,,12,8.5463209,,593.19922,0,1,0,0,1,0.37777779,6.4545455,4.1431346,0,1,,,0.05
