Country,Number of studies,Total sample size,Average fraction sent,Average proportion returned,,,,
Argentina,3,678,0.43,0.4,,,,
Australia,2,196,0.51,0.32,,,,
Austria,6,508,0.62,0.38,,,,
Bangladesh,4,863,0.46,0.46,,,,
Brazil,2,138,0.71,0.45,,,,
Bulgaria,2,62,0.57,0.39,,,,
Cameroon,2,320,0.7,0.47,,,,
Canada,5,432,0.6,0.31,,,,
China,5,1036,0.48,0.55,,,,
Colombia,2,722,0.37,0.23,,,,
Costa Rica,1,425,0.46,0.26,,,,
France,9,1008,0.43,0.33,,,,
Germany ,15,1315,0.51,0.44,,,,
Honduras ,1,758,0.49,0.42,,,,
Hungary ,1,74,0.51,0.4,,,,
India,1,92,0.49,0.29,,,,
Israel,2,535,0.59,0.45,,,,
Italy,8,763,0.43,0.31,,,,
Japan,2,78,0.58,0.32,,,,
Kenya,4,646,0.38,0.32,,,,
Netherlands,6,751,0.46,0.33,,,,
New Zealand ,2,123,0.44,0.22,,,,
Paraguay ,1,188,0.47,0.43,,,,
Peru,2,1245,0.48,0.46,,,,
Russia,2,758,0.49,0.37,,,,
South Africa,4,775,0.44,0.24,,,,
South Korea,1,52,0.67,0.29,,,,
Sweden,4,941,0.74,0.37,,,,
Switzerland,1,986,0.66,0.53,,,,
Tanzania,2,310,0.54,0.4,,,,
Uganda,2,246,0.45,0.33,,,,
United Kingdom,5,274,0.54,0.28,,,,
United States,46,4552,0.51,0.34,,,,
Uruguay ,1,579,0.45,0.29,,,,
Vietnam,2,194,0.33,NA,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
